region,anzsic_descriptor,anzsic_descriptor2,category,gas,units,magnitude,year,data_val
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,97.94
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,108.75
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,140.56
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,147.4
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,148.54
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,119.02
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,103.18
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,78.21
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,91.24
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,95.92
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,122.82
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,125.7
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,107.88
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,114.29
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,124.63
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,125.13
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,172.66
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,161.19
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,137.9
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,130.56
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,155.31
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,139.66
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,156.77
Wellington,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,27.19
Wellington,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,28.15
Wellington,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,27.09
Wellington,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,31.19
Wellington,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,52.88
Wellington,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,34.63
Wellington,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,34.99
Wellington,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,52.86
Wellington,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,35.03
Wellington,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,29.6
Wellington,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,25.22
